master_id,L_CODE,E_CODE,E_NAME,L_NAME,CDS_DBF,EQPT_DBF,OPEN_DT,SCL_PREPAR,NO_EQPT,FIN_YEAR,D_TYPE,JOB_NO1,JOB_DT1,JOB_QT1,MT_LP1,ENGR_LP1,ORD_LP1,JOB_NO2,JOB_DT2,JOB_QT2,MT_LP2,ENGR_LP2,ORD_LP2,JOB_NO3,JOB_DT3,JOB_QT3,MT_LP3,ENGR_LP3,ORD_LP3,JOB_NO4,JOB_DT4,JOB_QT4,MT_LP4,ENGR_LP4,ORD_LP4,JOB_NO5,JOB_DT5,JOB_QT5,MT_LP5,ENGR_LP5,ORD_LP5,JOB_NO6,JOB_DT6,JOB_QT6,MT_LP6,ENGR_LP6,ORD_LP6,JOB_NO7,JOB_DT7,JOB_QT7,MT_LP7,ENGR_LP7,ORD_LP7,JOB_NO8,JOB_DT8,JOB_QT8,MT_LP8,ENGR_LP8,ORD_LP8,LOCK_DT1,LOCK_DT2,LOCK_DT3,LOCK_DT4,LOCK_DT5,LOCK_DT6,LOCK_DT7,LOCK_DT8,OPT,GROUP,S_CODE,F_HEAD,NEW_CDS,ACT,Ledger_code,eqpt_code
101,A2,A2,CHIC_ENG,CHIC_ENG,CHIC_ENG,,2021-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ERG,,ENGR,Y,Y,A2,A2
102,SL,SL,SSL_ENG,SSL_ENG,SL_ENG,,2021-08-06,,,2023-2024,,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ERG,02,ENGR,Y,Y,SL,SL
59,70,72,P/ROCKDRILL,ROCKDRIL,ROCKRIL,P_ROCKDRIL,2022-01-04,,4,2022-2023,,282,2021-09-27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,EEG,02,ENGR,Y,Y,70,72
13,18,18,OBM 35HP,OBM35,OBM35,OBM_35HP,2022-01-04,,5,2022-2023,,17,2022-04-19,1,,,,18,2022-04-19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,EEG,02,ENGR,Y,Y,18,18
15,20,20,OBM 45HP,OBM45,OBM45,OBM_45HP,2022-01-04,,5,2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,EEG,02,ENGR,Y,Y,20,20
38,49,49,MML,MML,MML.DBF,,2022-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,EEG,02,ENGR,Y,Y,49,49
100,49,49,MML,MML,MML.DBF,,2022-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,EEG,02,ENGR,Y,Y,49,49
103,PA,PA,OBM_PA,OBMPA,OBMPA,,2022-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,EEG,,ENGR,Y,Y,PA,PA
105,Y3,Y3,OBM_Y3,OBM115Y3,OBM115Y3,,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,EEG,,MT,Y,Y,Y3,Y3
22,31,31,RR_CH,RR_CH,RR_CH,,2023-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,EEG,,ENGR,Y,Y,31,31
34,45,45,PERKINS P4,P4ENG,PERKINSP4E,,2024-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ERG,,ENGR,Y,Y,45,45
91,T3,T3,ARV_WZT3,ARV_WZT3,ARV_WZT3,,2025-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,EEG,,MT,Y,,T3,T3
27,36,36,OBM 110 HP,OBM110,OBM110HPEN,,2024-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,EEG,,ENGR,Y,Y,36,36
104,95,95,OBM 90 HP(M),OBM90,OBM90,,2024-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,EEG,,ENGR,Y,Y,95,95
106,96,96,OBM 50 HP(M),OBM50,OBM50,,2024-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,EEG,,ENGR,Y,Y,96,96
24,33,33,MG 605 CH,MG605C,MG605C,,2024-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,EEG,,MT,Y,Y,33,33
32,43,43,G14D1C,G14D1C,G14D1_CH,,2024-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ENGR,,ENGR,Y,Y,43,43
108,J3,J3,JCB3DX SUPER,J3DXSC,J3,,2024-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,EEG/ERG,,ENGR,Y,Y,J3,J3
109,AR,AR,ARV_WZT3,ARV_WZT3,ARV_WZT3,,2025-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ARV CDS,,MT,Y,Y,AR,AR
