L_CODE,E_CODE,E_NAME,DEM_NO,DEM_DT,SCL_PREPAR,NO_EQPT,FIN_YEAR,D_TYPE,N1,N2,N3,N4,N5,N6,N7,N8,N9,D_LOCK,YN,JOB_NO,JOB_DT,CTRL_NO,CTRL_DT,OPT,DEM,FULL_RECD,PART_RECD,OUTS,PER_RECD,DEP_DELE,IN_IIL,IN_CVIL,CRITICAL,CTRL_NA,VED,VED_FULL,VED_PART,VED_OUTS,VED_PER,VED_DELE,VED_IIL,VED_CVIL,VED_CRI,VED_CTRLNA,CONS_FM,CONS_TO,CONS_EQPT,LAST_SOUPD,DEMD,FULL_RECDD,PART_RECDD,OUTSD,DEP_DELED,IN_IILD,IN_CVILD,CRITICALD,CTRL_NAD,VEDD,VED_FULLD,VED_PARTD,VED_OUTSD,VED_DELED,VED_IILD,VED_CVILD,VED_CRID,VED_CTLNAD
33,33,MG 605 CH*,23,2005-07-11,,,2005-2006,SPD,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,Y,639,2005-01-05,,,0,2,0,0,2,0.0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
38,34,MG 605 ENG,25,2005-07-13,,,2005-2006,SPD,20.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,5.0,,Y,168,2005-06-28,,,0,20,2,0,18,10.0,0,0,0,0,20,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
39,39,D50-A15 CH,26,2005-07-14,,,2005-2006,SPD,94.0,0.0,0.0,0.0,0.0,43.0,4.0,47.0,45.74,,Y,70,2005-05-09,,,0,94,47,3,47,50.0,0,0,0,0,94,67,39,3,25,58.21,0,0,0,0,67,,,,,,,,,,,,,,,,,,,,,,
33,33,MG 605 CH*,27,2005-07-18,,,2005-2006,SPD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,Y,20,2005-04-12,,,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
33,33,MG 605 CH*,28,2005-07-18,,,2005-2006,SPD,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,Y,20,2005-04-12,,,0,2,0,1,2,0.0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
45,45,P6 ENGINE,30,2005-07-20,,,2005-2006,SPD,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,Y,181,2005-07-05,,,0,10,0,0,10,0.0,0,0,0,0,10,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55,55,JCB CHASSIS,31,2005-04-18,0,0,2005-2006,SPD,217.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,,Y,,,,,0,217,0,0,217,0.0,0,0,0,0,217,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55,55,JCB CHASSIS,72,2005-05-14,0,0,2005-2006,SPD,231.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,,Y,,,,,0,231,0,0,231,0.0,0,0,0,0,231,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55,55,JCB CHASSIS,767,2005-03-18,0,0,2005-2006,SPD,227.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,,Y,,,,,0,227,0,0,227,0.0,0,0,0,0,227,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55,55,JCB CHASSIS,29,2005-07-19,0,0,2005-2006,SPD,327.0,0.0,0.0,0.0,0.0,84.0,20.0,223.0,25.69,,Y,,,,,0,327,237,14,90,72.48,0,0,0,0,327,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
